mdName,mdSpecialty,mdSchool,mdFacility,facilityZip,resLink
Seungtaek L. Choi,Genitourinary_Oncologist,Cornell University Medical College,The University of Texas MD Anderson Cancer Center,77030,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&api_key=f0c738c0db4332ade5c06586e736cfd0d508&list_uids=35013900
Borys R. Mychalczak,Genitourinary Oncologist,Wayne State University,Memorial Sloan Kettering Cancer Center,10065,https://pubmed.ncbi.nlm.nih.gov/9337304/
Dhwani R. Parikh,Genitourinary Oncologist,University of Connecticut School of Medicine,Memorial Sloan Kettering Cancer Center,07920,https://www.mskcc.org//cancer-care/clinical-trials/21-091
Anthony Victor D'Amico,Genitourinary Oncologist,University of Pennsylvania School of Medicine,Brigham and Women's Hospital,02115,https://www.researchgate.net/publication/369381976_Cribriform_morphology_is_associated_with_higher_risk_of_biochemical_recurrence_after_radical_prostatectomy_in_patients_with_Grade_Group_5_prostate_cancer
Jennifer R. Bellon,Breast Oncologist ,Case Western Reserve University School of Medicine,Dana-Farber Cancer Institute,02215,https://pubmed.ncbi.nlm.nih.gov#accordionTWO
Justin E. Bekelman,Genitourinary Oncologist,Yale University School of Medicine,Perelman School of Medicine at the University of Pennsylvania,19104,https://pubmed.ncbi.nlm.nih.gov/33545689/
Safia K. Ahmed,Breast Oncologist,Mayo Clinic College of Medicine,Mayo Clinic,55902,http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=pubmed&dopt=Abstract&list_uids=36573830&query_hl=11&itool=pubmed_docsum
Albert N. Attia,Genitourinary Oncologist,Wake Forest University School of Medicine,Mayo Clinic,32224,https://pubmed.ncbi.nlm.nih.gov/32496550/
"Karen Elizabeth Hoffman, M.D., M.H.Sc., ",Breast Oncologist,"Harvard School of Public Health, Boston, MA, USA, MPH, Concen",The University of Texas MD Anderson Cancer Center,77030,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&dopt=Citation&api_key=f0c738c0db4332ade5c06586e736cfd0d508&list_uids=31216252
Gary Freedman,Breast Oncologist,Temple University School of Medicine,Perelman School of Medicine at the University of Pennsylvania,19104,https://pubmed.ncbi.nlm.nih.gov/33545689/
